JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP013.npy Masking [0, 1] results in correlation (0.543, 0.335) for AF 0 
JW32_TP013.npy Masking [0, 1] results in correlation (0.609, 0.898) for AF 1 
JW32_TP013.npy Masking [0, 7] results in correlation (0.151, 0.688) for AF 7 
JW32_TP013.npy Masking [1, 7] results in correlation (0.326, 0.728) for AF 7 
JW32_TP013.npy Masking [2, 3] results in correlation (0.802, 0.508) for AF 2 
JW32_TP013.npy Masking [2, 7] results in correlation (0.342, 0.878) for AF 7 
JW32_TP013.npy Masking [3, 4] results in correlation (0.917, 0.462) for AF 3 
JW32_TP013.npy Masking [3, 7] results in correlation (0.206, 0.778) for AF 7 
JW32_TP013.npy Masking [4, 5] results in correlation (0.573, -0.133) for AF 5 
JW32_TP013.npy Masking [4, 7] results in correlation (0.178, 0.731) for AF 7 
JW32_TP013.npy Masking [5, 7] results in correlation (0.203, 0.774) for AF 7 
JW32_TP013.npy Masking [6, 7] results in correlation (0.369, 0.852) for AF 7 
JW32_TP013.npy Masking [0, 1, 2] results in correlation (0.255, 0.252) for AF 0 
JW32_TP013.npy Masking [0, 1, 2] results in correlation (0.272, 0.839) for AF 1 
JW32_TP013.npy Masking [0, 1, 3] results in correlation (0.421, 0.303) for AF 0 
JW32_TP013.npy Masking [0, 1, 3] results in correlation (0.469, 0.886) for AF 1 
JW32_TP013.npy Masking [0, 1, 4] results in correlation (0.286, 0.239) for AF 0 
JW32_TP013.npy Masking [0, 1, 4] results in correlation (0.413, 0.865) for AF 1 
JW32_TP013.npy Masking [0, 1, 5] results in correlation (0.539, 0.294) for AF 0 
JW32_TP013.npy Masking [0, 1, 5] results in correlation (0.461, 0.890) for AF 1 
JW32_TP013.npy Masking [0, 1, 6] results in correlation (0.369, 0.273) for AF 0 
JW32_TP013.npy Masking [0, 1, 6] results in correlation (0.325, 0.770) for AF 1 
JW32_TP013.npy Masking [0, 1, 6] results in correlation (0.647, 0.983) for AF 6 
JW32_TP013.npy Masking [0, 1, 7] results in correlation (0.290, 0.277) for AF 0 
JW32_TP013.npy Masking [0, 1, 7] results in correlation (0.421, 0.876) for AF 1 
JW32_TP013.npy Masking [0, 1, 7] results in correlation (-0.023, 0.672) for AF 7 
JW32_TP013.npy Masking [0, 2, 3] results in correlation (0.796, 0.512) for AF 2 
JW32_TP013.npy Masking [0, 2, 7] results in correlation (0.131, 0.698) for AF 7 
JW32_TP013.npy Masking [0, 3, 4] results in correlation (0.794, 0.699) for AF 0 
JW32_TP013.npy Masking [0, 3, 4] results in correlation (0.919, 0.427) for AF 3 
JW32_TP013.npy Masking [0, 3, 7] results in correlation (0.842, 0.608) for AF 0 
