JW32_TP016.npy Masking [7, 5] results in correlation (0.304, 0.799) for AF 7 
JW32_TP015.npy Masking [2, 6, 7] results in correlation (0.121, 0.866) for AF 7 
JW32_TP015.npy Masking [3, 5, 7] results in correlation (0.465, 0.954) for AF 7 
JW32_TP015.npy Masking [3, 6, 7] results in correlation (0.138, 0.865) for AF 7 
JW32_TP015.npy Masking [4, 5, 7] results in correlation (0.132, 0.880) for AF 7 
JW32_TP015.npy Masking [4, 6, 7] results in correlation (0.484, 0.949) for AF 7 
JW32_TP015.npy Masking [5, 6, 7] results in correlation (0.258, 0.915) for AF 7 
JW32_TP003_4.npy Masking [7] results in correlation (0.536, 0.910) for AF 7 
JW32_TP003_4.npy Masking [0, 7] results in correlation (0.558, 0.903) for AF 7 
JW32_TP003_4.npy Masking [2, 7] results in correlation (0.481, 0.896) for AF 7 
JW32_TP003_4.npy Masking [3, 7] results in correlation (0.494, 0.898) for AF 7 
JW32_TP003_4.npy Masking [4, 7] results in correlation (0.498, 0.917) for AF 7 
JW32_TP003_4.npy Masking [5, 7] results in correlation (0.508, 0.892) for AF 7 
JW32_TP003_4.npy Masking [6, 7] results in correlation (0.423, 0.859) for AF 7 
JW32_TP003_4.npy Masking [0, 1, 7] results in correlation (0.566, 0.905) for AF 7 
JW32_TP003_4.npy Masking [0, 2, 7] results in correlation (0.576, 0.883) for AF 7 
JW32_TP003_4.npy Masking [0, 3, 7] results in correlation (0.504, 0.846) for AF 7 
JW32_TP003_4.npy Masking [0, 4, 7] results in correlation (0.569, 0.894) for AF 7 
JW32_TP003_4.npy Masking [0, 5, 7] results in correlation (0.559, 0.885) for AF 7 
JW32_TP003_4.npy Masking [0, 6, 7] results in correlation (0.444, 0.826) for AF 7 
JW32_TP003_4.npy Masking [1, 2, 7] results in correlation (0.587, 0.927) for AF 7 
JW32_TP003_4.npy Masking [1, 5, 7] results in correlation (0.647, 0.944) for AF 7 
JW32_TP003_4.npy Masking [1, 6, 7] results in correlation (0.433, 0.854) for AF 7 
JW32_TP003_4.npy Masking [2, 3, 7] results in correlation (0.484, 0.890) for AF 7 
JW32_TP003_4.npy Masking [2, 4, 7] results in correlation (0.478, 0.895) for AF 7 
JW32_TP003_4.npy Masking [2, 5, 7] results in correlation (0.482, 0.871) for AF 7 
JW32_TP003_4.npy Masking [2, 6, 7] results in correlation (0.361, 0.852) for AF 7 
JW32_TP003_4.npy Masking [3, 4, 7] results in correlation (0.548, 0.911) for AF 7 
JW32_TP003_4.npy Masking [3, 5, 7] results in correlation (0.491, 0.886) for AF 7 
JW32_TP003_4.npy Masking [3, 6, 7] results in correlation (0.444, 0.858) for AF 7 
JW32_TP003_4.npy Masking [4, 5, 7] results in correlation (0.467, 0.914) for AF 7 
JW32_TP003_4.npy Masking [4, 6, 7] results in correlation (0.384, 0.835) for AF 7 
JW32_TP003_4.npy Masking [5, 6, 7] results in correlation (0.487, 0.883) for AF 7 
JW32_TP004.npy Masking [7, 6] results in correlation (-0.008, 0.696) for AF 7 
JW32_TP004.npy Masking [0, 7, 6] results in correlation (-0.035, 0.679) for AF 7 
JW32_TP004.npy Masking [1, 7, 6] results in correlation (-0.014, 0.709) for AF 7 
JW32_TP004.npy Masking [2, 7, 6] results in correlation (-0.004, 0.605) for AF 7 
JW32_TP004.npy Masking [3, 7, 6] results in correlation (-0.002, 0.660) for AF 7 
JW32_TP004.npy Masking [4, 7, 6] results in correlation (-0.039, 0.692) for AF 7 
JW32_TP004.npy Masking [5, 7, 6] results in correlation (0.040, 0.701) for AF 7 
JW32_TP007.npy Masking [7] results in correlation (0.015, 0.735) for AF 7 
JW32_TP007.npy Masking [0, 7] results in correlation (0.149, 0.643) for AF 7 
JW32_TP007.npy Masking [1, 7] results in correlation (-0.000, 0.726) for AF 7 
JW32_TP007.npy Masking [2, 7] results in correlation (0.028, 0.721) for AF 7 
JW32_TP007.npy Masking [3, 7] results in correlation (-0.056, 0.682) for AF 7 
JW32_TP007.npy Masking [4, 7] results in correlation (0.091, 0.706) for AF 7 
JW32_TP007.npy Masking [5, 7] results in correlation (-0.001, 0.710) for AF 7 
JW32_TP007.npy Masking [6, 7] results in correlation (0.030, 0.693) for AF 7 
JW32_TP007.npy Masking [0, 1, 7] results in correlation (0.033, 0.644) for AF 7 
JW32_TP007.npy Masking [0, 2, 7] results in correlation (0.126, 0.673) for AF 7 
JW32_TP007.npy Masking [0, 3, 7] results in correlation (-0.004, 0.638) for AF 7 
JW32_TP007.npy Masking [0, 4, 7] results in correlation (0.212, 0.650) for AF 7 
JW32_TP007.npy Masking [0, 5, 7] results in correlation (0.087, 0.696) for AF 7 
JW32_TP007.npy Masking [0, 6, 7] results in correlation (0.672, 0.923) for AF 6 
JW32_TP007.npy Masking [0, 6, 7] results in correlation (0.184, 0.596) for AF 7 
JW32_TP007.npy Masking [1, 2, 7] results in correlation (0.013, 0.727) for AF 7 
JW32_TP007.npy Masking [1, 3, 7] results in correlation (-0.165, 0.696) for AF 7 
JW32_TP007.npy Masking [1, 4, 7] results in correlation (-0.010, 0.707) for AF 7 
JW32_TP007.npy Masking [1, 5, 7] results in correlation (-0.078, 0.743) for AF 7 
JW32_TP007.npy Masking [1, 6, 7] results in correlation (0.753, 0.690) for AF 1 
JW32_TP007.npy Masking [1, 6, 7] results in correlation (0.450, 0.914) for AF 6 
JW32_TP007.npy Masking [1, 6, 7] results in correlation (0.107, 0.707) for AF 7 
JW32_TP007.npy Masking [2, 3, 7] results in correlation (0.052, 0.627) for AF 7 
JW32_TP007.npy Masking [2, 4, 7] results in correlation (0.091, 0.668) for AF 7 
JW32_TP007.npy Masking [2, 5, 7] results in correlation (-0.019, 0.726) for AF 7 
JW32_TP007.npy Masking [2, 6, 7] results in correlation (0.034, 0.676) for AF 7 
JW32_TP007.npy Masking [3, 4, 7] results in correlation (0.015, 0.684) for AF 7 
JW32_TP007.npy Masking [3, 5, 7] results in correlation (-0.139, 0.682) for AF 7 
JW32_TP007.npy Masking [3, 6, 7] results in correlation (-0.115, 0.661) for AF 7 
JW32_TP007.npy Masking [4, 5, 7] results in correlation (-0.044, 0.676) for AF 7 
JW32_TP007.npy Masking [4, 6, 7] results in correlation (0.000, 0.683) for AF 7 
JW32_TP007.npy Masking [5, 6, 7] results in correlation (0.069, 0.702) for AF 7 
JW32_TP014.npy Masking [0, 1] results in correlation (0.745, 0.691) for AF 0 
JW32_TP014.npy Masking [7, 1] results in correlation (0.633, 0.957) for AF 7 
JW32_TP014.npy Masking [0, 2, 1] results in correlation (0.704, 0.605) for AF 0 
JW32_TP014.npy Masking [0, 3, 1] results in correlation (0.757, 0.674) for AF 0 
JW32_TP014.npy Masking [0, 4, 1] results in correlation (0.753, 0.667) for AF 0 
JW32_TP014.npy Masking [0, 5, 1] results in correlation (0.700, 0.684) for AF 0 
JW32_TP014.npy Masking [0, 6, 1] results in correlation (0.675, 0.603) for AF 0 
JW32_TP014.npy Masking [0, 7, 1] results in correlation (0.718, 0.674) for AF 0 
JW32_TP014.npy Masking [2, 7, 1] results in correlation (0.518, 0.947) for AF 7 
JW32_TP014.npy Masking [3, 7, 1] results in correlation (0.585, 0.949) for AF 7 
JW32_TP014.npy Masking [4, 7, 1] results in correlation (0.555, 0.946) for AF 7 
JW32_TP014.npy Masking [5, 7, 1] results in correlation (0.567, 0.947) for AF 7 
JW32_TP014.npy Masking [6, 7, 1] results in correlation (0.425, 0.901) for AF 7 
JW32_TP029.npy Masking [0, 1, 7] results in correlation (0.467, 0.563) for AF 0 
JW32_TP029.npy Masking [0, 6, 7] results in correlation (0.720, 0.649) for AF 0 
JW32_TP029.npy Masking [0, 6, 7] results in correlation (0.641, 0.916) for AF 6 
JW32_TP029.npy Masking [1, 6, 7] results in correlation (0.509, 0.888) for AF 6 
JW32_TP031.npy Masking [6, 7] results in correlation (0.642, 0.922) for AF 6 
JW32_TP031.npy Masking [0, 1, 7] results in correlation (0.797, 0.482) for AF 0 
JW32_TP031.npy Masking [0, 6, 7] results in correlation (0.611, 0.914) for AF 6 
JW32_TP031.npy Masking [1, 6, 7] results in correlation (0.815, 0.683) for AF 1 
JW32_TP031.npy Masking [1, 6, 7] results in correlation (0.344, 0.829) for AF 6 
JW32_TP031.npy Masking [2, 6, 7] results in correlation (0.689, 0.915) for AF 6 
JW32_TP031.npy Masking [3, 6, 7] results in correlation (0.657, 0.915) for AF 6 
JW32_TP031.npy Masking [4, 6, 7] results in correlation (0.646, 0.922) for AF 6 
JW32_TP031.npy Masking [5, 6, 7] results in correlation (0.595, 0.920) for AF 6 
JW32_TP016.npy Masking [7, 5] results in correlation (0.577, 0.968) for AF 7 
JW32_TP016.npy Masking [0, 1, 5] results in correlation (0.753, 0.612) for AF 0 
JW32_TP016.npy Masking [0, 7, 5] results in correlation (0.402, 0.885) for AF 7 
JW32_TP016.npy Masking [1, 7, 5] results in correlation (0.506, 0.954) for AF 7 
JW32_TP016.npy Masking [2, 7, 5] results in correlation (0.599, 0.978) for AF 7 
JW32_TP016.npy Masking [4, 7, 5] results in correlation (0.584, 0.971) for AF 7 
JW32_TP016.npy Masking [6, 7, 5] results in correlation (0.396, 0.937) for AF 7 
JW32_TP001.npy Masking [7, 4] results in correlation (0.153, 0.640) for AF 7 
JW32_TP001.npy Masking [0, 1, 4] results in correlation (0.491, 0.621) for AF 0 
JW32_TP001.npy Masking [0, 1, 4] results in correlation (0.684, 0.907) for AF 1 
JW32_TP001.npy Masking [0, 2, 4] results in correlation (0.649, 0.828) for AF 0 
JW32_TP001.npy Masking [0, 7, 4] results in correlation (0.664, 0.767) for AF 0 
JW32_TP001.npy Masking [0, 7, 4] results in correlation (0.133, 0.650) for AF 7 
JW32_TP001.npy Masking [1, 7, 4] results in correlation (0.298, 0.677) for AF 7 
JW32_TP001.npy Masking [2, 3, 4] results in correlation (0.928, 0.670) for AF 3 
JW32_TP001.npy Masking [2, 7, 4] results in correlation (0.129, 0.639) for AF 7 
JW32_TP001.npy Masking [3, 7, 4] results in correlation (0.167, 0.603) for AF 7 
JW32_TP001.npy Masking [5, 7, 4] results in correlation (0.176, 0.697) for AF 7 
JW32_TP001.npy Masking [6, 7, 4] results in correlation (0.027, 0.598) for AF 7 
JW32_TP005.npy Masking [0, 6] results in correlation (0.673, 0.676) for AF 0 
JW32_TP005.npy Masking [7, 6] results in correlation (0.030, 0.627) for AF 7 
JW32_TP005.npy Masking [0, 1, 6] results in correlation (0.532, 0.500) for AF 0 
JW32_TP005.npy Masking [0, 1, 6] results in correlation (0.701, 0.592) for AF 1 
JW32_TP005.npy Masking [0, 2, 6] results in correlation (0.678, 0.671) for AF 0 
JW32_TP005.npy Masking [0, 3, 6] results in correlation (0.675, 0.708) for AF 0 
JW32_TP005.npy Masking [0, 5, 6] results in correlation (0.674, 0.701) for AF 0 
JW32_TP005.npy Masking [0, 7, 6] results in correlation (0.635, 0.631) for AF 0 
JW32_TP005.npy Masking [0, 7, 6] results in correlation (-0.115, 0.579) for AF 7 
JW32_TP005.npy Masking [1, 7, 6] results in correlation (0.798, 0.586) for AF 1 
JW32_TP005.npy Masking [1, 7, 6] results in correlation (-0.059, 0.508) for AF 7 
JW32_TP005.npy Masking [2, 7, 6] results in correlation (-0.019, 0.572) for AF 7 
JW32_TP005.npy Masking [3, 7, 6] results in correlation (0.026, 0.636) for AF 7 
JW32_TP005.npy Masking [4, 7, 6] results in correlation (0.115, 0.619) for AF 7 
JW32_TP005.npy Masking [5, 7, 6] results in correlation (0.090, 0.667) for AF 7 
JW32_TP032.npy Masking [0, 7] results in correlation (0.841, 0.688) for AF 0 
JW32_TP032.npy Masking [6, 7] results in correlation (0.535, 0.863) for AF 6 
JW32_TP032.npy Masking [0, 1, 7] results in correlation (0.657, 0.421) for AF 0 
JW32_TP032.npy Masking [0, 1, 7] results in correlation (0.715, 0.574) for AF 1 
JW32_TP032.npy Masking [0, 6, 7] results in correlation (0.862, 0.665) for AF 0 
JW32_TP032.npy Masking [0, 6, 7] results in correlation (0.461, 0.885) for AF 6 
JW32_TP032.npy Masking [1, 6, 7] results in correlation (0.825, 0.664) for AF 1 
JW32_TP032.npy Masking [1, 6, 7] results in correlation (0.370, 0.778) for AF 6 
JW32_TP032.npy Masking [2, 6, 7] results in correlation (0.580, 0.853) for AF 6 
JW32_TP032.npy Masking [3, 6, 7] results in correlation (0.569, 0.883) for AF 6 
JW32_TP032.npy Masking [4, 6, 7] results in correlation (0.534, 0.884) for AF 6 
JW32_TP032.npy Masking [5, 6, 7] results in correlation (0.499, 0.851) for AF 6 
JW32_TP009.npy Masking [7, 2] results in correlation (0.177, 0.888) for AF 7 
JW32_TP009.npy Masking [0, 1, 2] results in correlation (0.732, 0.693) for AF 0 
JW32_TP009.npy Masking [0, 7, 2] results in correlation (0.188, 0.884) for AF 7 
JW32_TP009.npy Masking [1, 7, 2] results in correlation (0.253, 0.828) for AF 7 
JW32_TP009.npy Masking [3, 7, 2] results in correlation (0.142, 0.876) for AF 7 
JW32_TP009.npy Masking [4, 7, 2] results in correlation (0.172, 0.899) for AF 7 
JW32_TP009.npy Masking [5, 7, 2] results in correlation (0.201, 0.889) for AF 7 
JW32_TP009.npy Masking [6, 7, 2] results in correlation (0.057, 0.759) for AF 7 
JW32_TP027.npy Masking [0, 3, 7] results in correlation (0.797, 0.609) for AF 0 
JW32_TP027.npy Masking [2, 3, 7] results in correlation (0.939, 0.686) for AF 2 
JW32_TP027.npy Masking [6, 3, 7] results in correlation (0.656, 0.925) for AF 6 
JW32_TP020.npy Masking [6, 7] results in correlation (0.691, 0.931) for AF 6 
JW32_TP020.npy Masking [0, 1, 7] results in correlation (0.710, 0.467) for AF 0 
JW32_TP020.npy Masking [0, 6, 7] results in correlation (0.694, 0.919) for AF 6 
JW32_TP020.npy Masking [1, 6, 7] results in correlation (0.459, 0.894) for AF 6 
JW32_TP020.npy Masking [3, 6, 7] results in correlation (0.683, 0.934) for AF 6 
JW32_TP020.npy Masking [4, 6, 7] results in correlation (0.697, 0.927) for AF 6 
JW32_TP020.npy Masking [5, 6, 7] results in correlation (0.679, 0.922) for AF 6 
JW32_TP025.npy Masking [0, 7] results in correlation (0.771, 0.629) for AF 0 
JW32_TP025.npy Masking [6, 7] results in correlation (0.321, 0.920) for AF 6 
JW32_TP025.npy Masking [0, 1, 7] results in correlation (0.604, 0.315) for AF 0 
JW32_TP025.npy Masking [0, 2, 7] results in correlation (0.782, 0.624) for AF 0 
JW32_TP025.npy Masking [0, 3, 7] results in correlation (0.803, 0.642) for AF 0 
JW32_TP025.npy Masking [0, 4, 7] results in correlation (0.771, 0.648) for AF 0 
JW32_TP025.npy Masking [0, 5, 7] results in correlation (0.804, 0.624) for AF 0 
JW32_TP025.npy Masking [0, 6, 7] results in correlation (0.801, 0.609) for AF 0 
JW32_TP025.npy Masking [0, 6, 7] results in correlation (0.369, 0.920) for AF 6 
JW32_TP025.npy Masking [1, 6, 7] results in correlation (0.235, 0.860) for AF 6 
JW32_TP025.npy Masking [2, 6, 7] results in correlation (0.336, 0.908) for AF 6 
JW32_TP025.npy Masking [3, 6, 7] results in correlation (0.359, 0.923) for AF 6 
JW32_TP025.npy Masking [4, 6, 7] results in correlation (0.347, 0.924) for AF 6 
JW32_TP025.npy Masking [5, 6, 7] results in correlation (0.312, 0.925) for AF 6 
JW32_TP004_2.npy Masking [7, 4] results in correlation (0.175, 0.696) for AF 7 
JW32_TP004_2.npy Masking [0, 1, 4] results in correlation (0.682, 0.445) for AF 0 
JW32_TP004_2.npy Masking [0, 7, 4] results in correlation (0.323, 0.677) for AF 7 
JW32_TP004_2.npy Masking [1, 7, 4] results in correlation (0.216, 0.675) for AF 7 
JW32_TP004_2.npy Masking [2, 7, 4] results in correlation (0.121, 0.680) for AF 7 
JW32_TP004_2.npy Masking [3, 7, 4] results in correlation (0.097, 0.722) for AF 7 
JW32_TP004_2.npy Masking [5, 7, 4] results in correlation (0.132, 0.640) for AF 7 
JW32_TP004_2.npy Masking [6, 7, 4] results in correlation (-0.075, 0.626) for AF 7 
JW32_TP006.npy Masking [7] results in correlation (0.003, 0.827) for AF 7 
JW32_TP006.npy Masking [0, 1] results in correlation (0.603, 0.727) for AF 0 
JW32_TP006.npy Masking [0, 7] results in correlation (-0.060, 0.776) for AF 7 
JW32_TP006.npy Masking [1, 7] results in correlation (-0.025, 0.760) for AF 7 
JW32_TP006.npy Masking [2, 7] results in correlation (0.039, 0.800) for AF 7 
JW32_TP006.npy Masking [3, 7] results in correlation (-0.004, 0.796) for AF 7 
JW32_TP006.npy Masking [4, 7] results in correlation (0.017, 0.829) for AF 7 
JW32_TP006.npy Masking [5, 7] results in correlation (0.004, 0.814) for AF 7 
JW32_TP006.npy Masking [6, 7] results in correlation (-0.189, 0.651) for AF 7 
JW32_TP006.npy Masking [0, 1, 2] results in correlation (0.616, 0.737) for AF 0 
JW32_TP006.npy Masking [0, 1, 3] results in correlation (0.602, 0.696) for AF 0 
JW32_TP006.npy Masking [0, 1, 4] results in correlation (0.575, 0.758) for AF 0 
JW32_TP006.npy Masking [0, 1, 5] results in correlation (0.595, 0.736) for AF 0 
JW32_TP006.npy Masking [0, 1, 6] results in correlation (0.598, 0.682) for AF 0 
JW32_TP006.npy Masking [0, 1, 7] results in correlation (0.529, 0.638) for AF 0 
JW32_TP006.npy Masking [0, 1, 7] results in correlation (-0.149, 0.786) for AF 7 
JW32_TP006.npy Masking [0, 2, 7] results in correlation (-0.028, 0.790) for AF 7 
JW32_TP006.npy Masking [0, 3, 7] results in correlation (-0.020, 0.739) for AF 7 
JW32_TP006.npy Masking [0, 4, 7] results in correlation (-0.019, 0.786) for AF 7 
JW32_TP006.npy Masking [0, 5, 7] results in correlation (-0.043, 0.816) for AF 7 
JW32_TP006.npy Masking [0, 6, 7] results in correlation (-0.159, 0.627) for AF 7 
JW32_TP006.npy Masking [1, 2, 7] results in correlation (-0.009, 0.792) for AF 7 
JW32_TP006.npy Masking [1, 3, 7] results in correlation (-0.029, 0.759) for AF 7 
JW32_TP006.npy Masking [1, 4, 7] results in correlation (0.020, 0.791) for AF 7 
JW32_TP006.npy Masking [1, 5, 7] results in correlation (-0.019, 0.711) for AF 7 
JW32_TP006.npy Masking [1, 6, 7] results in correlation (0.509, 0.892) for AF 6 
JW32_TP006.npy Masking [1, 6, 7] results in correlation (-0.071, 0.485) for AF 7 
JW32_TP006.npy Masking [2, 3, 7] results in correlation (0.046, 0.819) for AF 7 
JW32_TP006.npy Masking [2, 4, 7] results in correlation (0.074, 0.810) for AF 7 
JW32_TP006.npy Masking [2, 5, 7] results in correlation (0.006, 0.785) for AF 7 
JW32_TP006.npy Masking [2, 6, 7] results in correlation (-0.110, 0.672) for AF 7 
JW32_TP006.npy Masking [3, 4, 5] results in correlation (0.952, 0.662) for AF 4 
JW32_TP006.npy Masking [3, 4, 5] results in correlation (0.866, 0.665) for AF 5 
JW32_TP006.npy Masking [3, 4, 7] results in correlation (0.033, 0.798) for AF 7 
JW32_TP006.npy Masking [3, 5, 7] results in correlation (-0.026, 0.793) for AF 7 
JW32_TP006.npy Masking [3, 6, 7] results in correlation (-0.140, 0.648) for AF 7 
JW32_TP006.npy Masking [4, 5, 7] results in correlation (-0.036, 0.823) for AF 7 
JW32_TP006.npy Masking [4, 6, 7] results in correlation (0.664, 0.923) for AF 6 
JW32_TP006.npy Masking [4, 6, 7] results in correlation (-0.173, 0.688) for AF 7 
JW32_TP006.npy Masking [5, 6, 7] results in correlation (-0.290, 0.648) for AF 7 
JW32_TP003.npy Masking [7, 2, 6] results in correlation (0.380, 0.492) for AF 7 
JW32_TP010.npy Masking [7, 3] results in correlation (0.203, 0.685) for AF 7 
JW32_TP010.npy Masking [0, 1, 3] results in correlation (0.565, 0.657) for AF 0 
JW32_TP010.npy Masking [0, 1, 3] results in correlation (0.679, 0.779) for AF 1 
JW32_TP010.npy Masking [0, 7, 3] results in correlation (0.263, 0.705) for AF 7 
JW32_TP010.npy Masking [1, 7, 3] results in correlation (-0.139, 0.572) for AF 7 
JW32_TP010.npy Masking [2, 7, 3] results in correlation (0.397, 0.800) for AF 7 
JW32_TP010.npy Masking [4, 7, 3] results in correlation (0.255, 0.674) for AF 7 
JW32_TP010.npy Masking [5, 7, 3] results in correlation (0.124, 0.579) for AF 7 
JW32_TP010.npy Masking [6, 7, 3] results in correlation (-0.162, 0.469) for AF 7 
JW32_TP026.npy Masking [0, 1, 7] results in correlation (0.667, 0.477) for AF 0 
JW32_TP026.npy Masking [6, 1, 7] results in correlation (0.577, 0.803) for AF 6 
JW32_TP011.npy Masking [7, 0, 1] results in correlation (0.189, 0.689) for AF 7 
JW32_TP013.npy Masking [7] results in correlation (0.398, 0.859) for AF 7 
JW32_TP013.npy Masking [0, 1] results in correlation (0.680, 0.781) for AF 0 
